index,title,company,industry,location,salary,education,department,experience,language,skills,additional,relevance_score,summary,link
1,資料工程師,10 / 28資料工程師上洋產業股份有限公司,製造修配我們正在尋找一位對資料工程具備熱情與專業,新北市,"月薪 50,000元",專科,N/A,N/A,N/A,N/A,N/A,2,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132096607
2,資料工程師,10 / 27資料工程師居家先生股份有限公司,零售業,新北市,"月薪 40,000元",大學,N/A,N/A,N/A,SQL,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132035939
3,資料工程師(Data Engineer),10 / 27資料工程師 (Data Engineer)開元食品工業股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,高中職,N/A,N/A,N/A,N/A,N/A,4,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132162725
4,資料工程師(士林),10 / 29資料工程師(士林)Inventec_英業達股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,3,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132136754
5,AI資料工程師(桃園),10 / 29AI資料工程師(桃園)Inventec_英業達股份有限公司,N/A,桃園市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132017020
6,數據ETL/資料工程師,10 / 27數據ETL/資料工程師昇恒昌股份有限公司,N/A,台北市,"月薪 40,000元",大學,N/A,N/A,N/A,ETL,N/A,4,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132142003
7,IT資料工程師(Data Engineer),10 / 28IT資料工程師(Data Engineer)GARMIN 台灣國際航電股份有限公司,N/A,新北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,"Python, SQL, Spark, Hadoop, Kafka, Airflow, Docker, Kubernetes, Linux, PostgreSQL",N/A,12,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/112941919
8,資料工程師(資訊部),10 / 28資料工程師(資訊部)三立電視台(三立電視股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,"AWS, Linux",N/A,2,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130273796
9,D4000 JAVA資料工程師【台中】,10 / 27D4000 JAVA資料工程師 【台中】富邦媒體科技股份有限公司,N/A,台中市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,"Java, AWS, GCP",N/A,7,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113019436
10,科技金融_資料工程師,10 / 20科技金融_資料工程師中國信託商業銀行股份有限公司,金融_資料工程師中國信託商業,台北市,面議（經常性薪資達4萬元,碩士,N/A,N/A,N/A,N/A,需,3,10 / 20 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/131932046
11,資料平臺工程師（資料開發 &資料庫設計方向）,10 / 26資料平臺工程師（資料開發 & 資料庫設計方向）洛芙瀾科技有限公司,N/A,新北市,"月薪 75,000元",大學,N/A,N/A,N/A,ETL,需,2,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132106768
12,資料庫助理工程師,10 / 27資料庫助理工程師合富資訊股份有限公司,N/A,台北市,"月薪 30,000元",專科,N/A,不拘,英文文件，需中等英文讀寫程度。,Linux,需,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/112976317
13,資料文件處理工程師,10 / 28資料文件處理工程師韋僑科技股份有限公司,N/A,台中市,"月薪 29,500元",專科,N/A,不拘,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/85888230
14,汽車資料支援工程師,10 / 27汽車資料支援工程師卡爾世達股份有限公司,N/A,新北市,"月薪 35,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132135891
15,D4000資料庫管理工程師,10 / 27D4000 資料庫管理工程師富邦媒體科技股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113019376
16,光罩資料處理工程師,10 / 29光罩資料處理工程師南亞科技股份有限公司,N/A,新北市,"月薪 41,000元",大學,N/A,不拘,N/A,Linux,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/80037645
17,資料庫程式專案工程師,10 / 30資料庫程式專案工程師頂祺實業股份有限公司,N/A,台南市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,需,3,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98929275
18,D4000Y資料倉儲數據工程師,10 / 27D4000Y 資料倉儲數據工程師富邦媒體科技股份有限公司,媒體科技股份有限公司(富邦momo)｜百貨相關我們在尋找具有熱情、創新和技術專業,台北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,3,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130301829
19,[Server]資料庫工程師DBA(桃園),10 / 29[Server]資料庫工程師DBA(桃園)Inventec_英業達股份有限公司,N/A,桃園市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130444544
20,Data Scientist(資料科學家/AI工程師),10 / 28Data Scientist(資料科學家/AI 工程師)李長榮化學工業股份有限公司,N/A,高雄市,面議（經常性薪資達4萬元,碩士,N/A,不拘,N/A,N/A,N/A,5,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132114337
21,【MyGo AI大數據】Proptech/Fintech資料科學家/AI 機器學習工程師,10 / 27【MyGo AI大數據】Proptech/Fintech資料科學家/AI 機器學習工程師平安房屋仲介股份有限公司,N/A,台北市,"年薪 1,000,000元",大學,N/A,不拘,N/A,Python,N/A,4,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130412556
22,國網中心_AI資料中心專案工程師-台南/沙崙(計畫114_05_2),10 / 27國網中心_AI 資料中心專案工程師-台南/沙崙(計畫114_05_2)財團法人國家實驗研究院｜職業團體負責資料中心相關建置工程監督及品質管理作業。,N/A,台南市,"月薪 37,000元",大學,N/A,N/A,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/131924626
23,國網中心_專案資料品質工程師_新竹或台南(計畫114_19_3),10 / 27國網中心_專案資料品質工程師_新竹或台南(計畫114_19_3)財團法人國家實驗研究院,N/A,新竹市,"月薪 36,000元",大學,N/A,不拘,N/A,N/A,N/A,3,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132085236
24,國網中心_專案資料處理工程師_新竹或台南(計畫114_19_2),10 / 27國網中心_專案資料處理工程師_新竹或台南(計畫114_19_2)財團法人國家實驗研究院｜職業團體1.生醫資料檢核平台開發與維運,N/A,新竹市,"月薪 36,000元",大學,N/A,不拘,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132085231
25,技術工程類 - 軟體設計工程師- 系統/資料庫管理【高雄】,10 / 28技術工程類 - 軟體設計工程師 - 系統/資料庫管理【高雄】日月光半導體製造股份有限公司,軟體設計工程師 - 系統/資料庫管理【高雄】日月光半導體製造股份有限公司｜半導體製造應數位企業,高雄市,"月薪 35,000元",大學,N/A,不拘,N/A,N/A,需,2,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130267951
26,工研院南分院_感測器與前端資料整合工程師(六甲/L000),10 / 27工研院南分院_感測器與前端資料整合工程師(六甲/L000)財團法人工業技術研究院｜工商顧問服務熟悉類比/數位訊號處理、ADC(類比數位轉換)電路設計與降噪技術，能確保資料品質與精度。,N/A,台南市,面議（經常性薪資達4萬元,碩士,N/A,不拘,N/A,N/A,需,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132143987
27,D4000資料科學家,10 / 27D4000 資料科學家富邦媒體科技股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113019430
28,國網中心_震測資料分析專案工程師_新竹或台中(計畫114_08_2),10 / 30國網中心_震測資料分析專案工程師_新竹或台中(計畫114_08_2)財團法人國家實驗研究院｜職業團體地質震測資料分析與建模技術研發。,N/A,新竹市,"月薪 38,600元",碩士,N/A,不拘,N/A,N/A,N/A,2,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132170840
29,資料科學家(AI工程師)-AI系統二team【全家便利商店關係企業】,10 / 29資料科學家(AI工程師)-AI系統二team【全家便利商店關係企業】精藤股份有限公司,N/A,台北市,"年薪 800,000元",大學,N/A,N/A,N/A,N/A,N/A,5,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/131957608
30,DBA資料庫管理師,10 / 27DBA資料庫管理師暘昇資訊有限公司,資訊有限公司｜電腦軟體相關執行業,台北市,"月薪 60,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132015450
